M.E.T. [s], Sea Level Altitude [m], Radar Altitude [m], Latitude [deg], Longitude [deg], Surface Velocity [m/s], Orbital Velocity [m/s], Vertical Speed [m/s], Ground Speed [m/s], Apoapsis [m], Time to Apoapsis [s], Periapsis [m], Time to Periapsis [s], Inclination [deg], Mass [t], Max Thrust [kN], Current Thrust [kN], T.W.R., % Terminal Velocity, Trajectory Preferred Pitch [deg], Pitch Command [deg], Vessel Pitch [deg], Heading Command [deg], Vessel Heading [deg], dv Spent [m/s], Dynamic Pressure [kPa]
66.4440997313857, 13661.8096842198, 13661.8095703125, -0.0961928218603134, -73.6762390136719, 653.179703279867, 794.02347646545, 442.846901653726, 480.135802135719, 25189.8258590719, 52.3121665744296, -575951.274058467, 361.50226365171, 0.118759837600492, 7.25110769271851, 197.289672851563, 197.2802734375, 2.89874855909079, 30.0583100785038, 41.6607997917763, 41.6607997917763, 42.0004619256642, 90.2377112070605, 89.9477382720546, 1345.54263708256, 0.291257411524019
67.5240997313847, 14145.4800476833, 14145.48046875, -0.0961127057671547, -73.6268157958984, 674.283673395603, 815.986732774655, 452.248799706657, 500.129533070224, 26259.2019339894, 53.8428919407656, -574358.080693881, 364.936950740832, 0.116371383739259, 7.18227672576904, 197.53434753418, 197.525604248047, 2.9347623022066, 29.9142613780409, 40.8270734670435, 40.8270734670435, 40.8730095054021, 90.2331292763286, 89.9425896571933, 1374.01334563747, 0.282802824455096
68.6040997313837, 14638.7329313519, 14638.7333984375, -0.0960333421826363, -73.5753479003906, 695.685733225189, 838.352337547325, 461.004427088594, 521.012119808056, 27326.7734093887, 55.3400487606806, -572631.722103047, 368.436188014721, 0.1149722029183, 7.11344575881958, 197.761276245117, 197.753173828125, 2.97131367595919, 32.0997710737401, 39.9918430970319, 39.9918430970319, 39.9420519821266, 89.769798093559, 89.9755865233691, 1403.89931145047, 0.273362096724362
69.6840997313827, 15141.4120477918, 15160.208984375, -0.0959550067782402, -73.519775390625, 718.301774179617, 861.964570860656, 469.999243829969, 543.19262631085, 28463.1765048379, 56.9286729003815, -570726.058464924, 372.209565733598, 0.126614793098357, 7.04206609725952, 197.970855712891, 197.970855712891, 3.00980772199228, 32.9450179450721, 39.1244412873493, 39.1244412873493, 39.217113515613, 89.7650716687553, 90.8037301438991, 1434.10945454382, 0.263767871858507
70.8040997313817, 15672.5131860904, 15672.513671875, -0.0958816260099411, -73.4640197753906, 740.408053368232, 885.075462518161, 478.242761142631, 565.232734890545, 29568.033162612, 58.455894941452, -568757.998502255, 375.948832466266, 0.10863825451357, 6.9732346534729, 198.170654296875, 198.163803100586, 3.04752048136251, 32.1303748934276, 38.2871525933702, 38.2871525933702, 38.5408212727641, 89.7801091440875, 90.1289766350973, 1465.78557840925, 0.253730160207761
71.8840997313807, 16194.0850078032, 16194.0849609375, -0.0958157405257225, -73.4060897827148, 763.148394047463, 908.761460455909, 486.838197306296, 587.693895169243, 30727.4093888466, 60.0779496781109, -566674.018488415, 379.911208508138, 0.107388690659057, 6.9044041633606, 198.347274780273, 198.341003417969, 3.08584656313142, 30.6803583224027, 37.4491197849601, 37.4491197849601, 38.6146662431503, 89.7835328566177, 90.0601744930845, 1496.66740798911, 0.243285881032151
72.9640997313797, 16725.0656852165, 16725.06640625, -0.0957508534193039, -73.3459320068359, 786.335293371497, 932.814903241516, 495.836819426575, 610.302496953385, 31946.838101099, 61.8016931203676, -564494.004661758, 384.094042798586, 0.105133231937232, 6.83302402496338, 198.509429931641, 198.503677368164, 3.12482442109911, 27.6181782229791, 36.5790040450679, 36.5790040450679, 37.4114655984344, 90.2119130698688, 89.9088345154882, 1527.88541181253, 0.231784409276123
74.0840997313787, 17285.4427674897, 17285.443359375, -0.0956918373703957, -73.2811584472656, 810.658339565802, 958.101115680524, 504.54938185197, 634.505306818278, 33213.8182708146, 63.5742730741887, -562068.66566041, 388.544678218053, 0.104723561616175, 6.76419305801392, 198.663543701172, 198.658294677734, 3.16597323560129, 33.6914767817182, 35.7393436899045, 35.7393436899045, 36.3627102096159, 90.1948547113141, 89.8687803769567, 1560.6208639287, 0.220534313163305
75.1640997313777, 17835.269409826, 17835.26953125, -0.0956452786922455, -73.2163467407227, 834.821727662545, 983.125583300153, 513.447105606701, 658.254888470054, 34507.7518087883, 65.4132256511861, -559593.802483294, 393.124763250057, 0.101520329255872, 6.69536256790161, 198.799163818359, 198.794357299805, 3.20638405978515, 30.6726772053462, 34.89910645866, 34.89910645866, 35.9481509941488, 90.1993939546793, 89.6915020428463, 1591.35634462161, 0.209432035196024
76.2440997313768, 18394.6196078215, 18394.619140625, -0.0955967679619789, -73.1491851806641, 859.446514602828, 1008.62181445517, 522.181648406877, 682.623454835813, 35834.5558219701, 67.3025731910585, -556955.110900134, 397.906581023674, 0.101637457340771, 6.62653160095215, 198.92268371582, 198.918334960938, 3.24754923339167, 28.523157383052, 34.0579245343817, 34.0579245343817, 34.993411776974, 89.7973363356691, 90.0760346444499, 1623.62473108754, 0.198087233949381
